Solver;Pattern;Target;Miliseconds;Size
Munkres;1;10;9;11
Munkres;2;10;1;12
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;6;10;0;16
Munkres;7;10;0;17
Munkres;8;10;0;18
Munkres;9;10;0;19
Munkres;1;10;0;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;6;10;0;16
Munkres;7;10;0;17
Munkres;8;10;0;18
Munkres;9;10;0;19
Munkres;1;10;2;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;0;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;3;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;0;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;2;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;0;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;3;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;1;10;0;11
Munkres;2;10;0;12
Munkres;3;10;0;13
Munkres;4;10;0;14
Munkres;5;10;0;15
Munkres;10;100;18;110
Munkres;20;100;20;120
Munkres;30;100;40;130
Munkres;40;100;63;140
Munkres;50;100;93;150
Munkres;10;100;11;110
Munkres;20;100;20;120
Munkres;30;100;35;130
Munkres;40;100;55;140
Munkres;50;100;84;150
Munkres;11;20;15;31
Munkres;12;20;16;32
Munkres;13;20;22;33
Munkres;14;20;19;34
Munkres;15;20;56;35
Munkres;11;20;11;31
Munkres;12;20;15;32
Munkres;13;20;34;33
Munkres;14;20;23;34
Munkres;15;20;56;35
Ullman;1;10;2;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;6;10;0;16
Ullman;7;10;1;17
Ullman;8;10;1;18
Ullman;9;10;17;19
Ullman;1;10;0;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;4146;15
Ullman;6;10;1;16
Ullman;7;10;4;17
Ullman;8;10;0;18
Ullman;9;10;0;19
Ullman;1;10;1;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;1;10;0;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;1;15
Ullman;1;10;1;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;1;10;0;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;1;10;1;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;1;10;0;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;1;15
Ullman;1;10;1;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;0;15
Ullman;1;10;0;11
Ullman;2;10;0;12
Ullman;3;10;0;13
Ullman;4;10;0;14
Ullman;5;10;1;15
Ullman;10;20;309;30
Ullman;11;20;1706;31
Ullman;12;20;370;32
Ullman;13;20;432;33
Ullman;14;20;1530;34
Ullman;15;20;6734;35
Ullman;1;20;0;21
Ullman;2;20;0;22
Ullman;3;20;0;23
Ullman;4;20;0;24
Ullman;5;20;0;25
Ullman;6;20;0;26
Ullman;7;20;0;27
Ullman;8;20;7;28
Ullman;9;20;159;29
Ullman;10;20;44;30
Ullman;11;20;178;31
Ullman;12;20;4;32
Ullman;13;20;519;33
Ullman;14;20;4;34
Ullman;15;20;21;35
Ullman;1;20;0;21
Ullman;2;20;0;22
Ullman;3;20;0;23
Ullman;4;20;0;24
Ullman;5;20;0;25
Ullman;6;20;0;26
Ullman;7;20;12;27
Ullman;8;20;9;28
Ullman;9;20;23;29
Ullman;10;20;11138;30
Ullman;1;20;0;21
Ullman;2;20;0;22
Ullman;3;20;0;23
Ullman;4;20;0;24
Ullman;5;20;0;25
Ullman;6;20;0;26
Ullman;7;20;28;27
Ullman;8;20;180;28
Ullman;9;20;17;29
Ullman;10;20;7782;30
Ullman;1;20;0;21
Ullman;2;20;0;22
Ullman;3;20;0;23
Ullman;4;20;0;24
Ullman;5;20;1;25
Ullman;6;20;5;26
Ullman;7;20;40;27
Ullman;8;20;5;28
Ullman;9;20;7987;29
